# Time(Myr) X(kpc) Y(kpc) Z(kpc) Vx(km/s) Vy(km/s) Vz(km/s) Distance(kpc) Energy(km^2/s^2)
1.470058e+02 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.480058e+02 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.490058e+02 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.500058e+02 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.510058e+02 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.520058e+02 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.530058e+02 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.540058e+02 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.550058e+02 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.560058e+02 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.570058e+02 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.580058e+02 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.590058e+02 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.600058e+02 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.610058e+02 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.620058e+02 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.630058e+02 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.640058e+02 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
1.650058e+02 -5.000000e-01 -4.120000e+01 -2.720000e+01 -8.600000e+01 -2.680000e+02 2.520000e+02 4.937135e+01 -1.089633e+08
